House_ID,City,Neighborhood,Square_Footage,Num_Bedrooms,Num_Bathrooms,Year_Built,Garage_Size,Has_Pool,Distance_to_Center,Condition,Price
1,Houston,Downtown,3589.0,2,1,1974,2,No,15.15,Excellent,813550.0
2,Phoenix,Rural,4462.375,5,3,1979,2,Yes,12.52,Good,348800.0
3,Chicago,Downtown,517.375,4,3,1960,2,No,21.12,Fair,114750.0
4,Phoenix,Rural,2647.0,5,2,1966,3,No,27.17,Fair,458600.0
5,Phoenix,Urban,2499.0,2,3,1975,3,Yes,24.25,Fair,673500.0
6,Los Angeles,Suburb,3491.0,4,2,1972,1,Yes,8.6,Good,669500.0
7,Chicago,Urban,2668.0,1,2,2005,0,No,26.43,Fair,435600.0
8,Chicago,Suburb,2107.0,3,3,2001,1,Yes,25.09,Good,415900.0
9,Chicago,Suburb,3146.0,2,2,1997,2,Yes,27.91,Fair,525000.0
10,Phoenix,Suburb,1721.0,2,2,1969,1,Yes,14.03,Good,302900.0
11,Houston,Urban,2881.0,2,2,1951,3,Yes,23.17,Good,484700.0
12,Chicago,Suburb,2904.0,4,2,1980,2,No,17.95,Good,555300.0
13,Phoenix,Urban,3348.0,1,3,1976,2,No,9.66,Good,558300.0
14,Los Angeles,Downtown,2499.0,5,1,1951,0,Yes,29.84,Excellent,780000.0
15,Houston,Rural,2814.0,1,1,1953,0,No,1.63,Good,464400.0
16,Los Angeles,Rural,2093.0,4,2,1962,2,Yes,5.29,Fair,450200.0
17,Houston,Suburb,2480.0,2,2,1984,2,Yes,26.83,Good,417100.0
18,Phoenix,Urban,1085.0,3,2,2021,1,Yes,2.29,Excellent,295800.0
19,New York,Rural,1944.0,2,1,2015,2,Yes,26.66,Fair,366100.0
20,Houston,Urban,2173.0,5,2,1955,3,No,21.6,Fair,409000.0
21,Los Angeles,Urban,2081.0,3,3,1980,1,Yes,1.58,Good,445700.0
22,Phoenix,Suburb,2622.0,2,3,1959,3,No,13.16,Good,470800.0
23,Houston,Rural,1842.0,3,3,1970,3,Yes,22.76,Good,349700.0
24,New York,Suburb,3397.0,1,1,2023,3,No,17.7,Fair,589200.0
25,New York,Suburb,2500.0,4,2,1972,2,No,28.11,Fair,457800.0
26,Chicago,Rural,2493.0,2,2,1952,0,No,26.1,Excellent,415800.0
27,Chicago,Rural,2238.0,5,2,1981,0,No,10.31,Poor,485800.0
28,Los Angeles,Downtown,2624.0,1,1,1969,3,Yes,3.0,Poor,440300.0
29,Houston,Downtown,3160.0,2,1,2023,2,No,28.36,Good,540400.0
30,Houston,Urban,1806.0,1,1,1978,1,Yes,15.76,Excellent,317000.0
31,Chicago,Rural,1974.0,5,1,2001,3,No,2.69,Good,442400.0
32,Houston,Downtown,2257.0,2,3,1995,1,No,24.59,Excellent,423900.0
33,Houston,Urban,1423.0,5,1,1983,1,No,26.12,Fair,324300.0
34,New York,Urban,1845.0,3,1,2010,2,Yes,19.36,Fair,368000.0
35,Chicago,Urban,2119.0,5,1,2021,2,No,13.7,Fair,441400.0
36,Phoenix,Downtown,3200.0,3,2,2020,0,Yes,20.03,Excellent,576600.0
37,Chicago,Rural,2710.0,2,2,2019,0,Yes,21.35,Good,488400.0
38,Phoenix,Suburb,2655.0,3,2,1960,2,Yes,26.84,Poor,456400.0
39,New York,Urban,3181.0,2,3,2012,3,No,28.7,Good,537600.0
40,Los Angeles,Downtown,2390.0,2,3,1970,0,No,15.67,Fair,430900.0
41,Houston,Downtown,2812.0,4,1,1952,1,No,24.06,Good,488000.0
42,New York,Suburb,2417.0,2,2,1959,3,No,28.95,Excellent,369500.0
43,Houston,Suburb,2712.0,3,3,1976,1,No,4.96,Fair,528200.0
44,Los Angeles,Downtown,2034.0,4,2,1961,2,No,1.04,Fair,442000.0
45,Los Angeles,Rural,549.0,4,3,1956,1,No,26.13,Fair,175300.0
46,New York,Suburb,2393.0,2,3,1966,3,Yes,6.26,Fair,439600.0
47,Los Angeles,Downtown,3638.0,5,1,2014,2,No,1.75,Fair,692000.0
48,Phoenix,Suburb,3241.0,5,1,2013,3,Yes,5.22,Good,657500.0
49,Los Angeles,Rural,3272.0,4,3,1975,1,Yes,11.83,Fair,603600.0
50,Houston,Urban,3489.0,2,1,1964,3,No,6.97,Excellent,602200.0
51,Houston,Suburb,2571.0,5,3,1982,2,No,9.5,Fair,531300.0
52,Houston,Rural,2658.0,2,3,2011,1,Yes,29.27,Fair,485600.0
53,Houston,Downtown,2006.0,2,2,1996,1,Yes,21.28,Fair,372500.0
54,Phoenix,Suburb,2247.0,4,1,1984,0,No,21.51,Good,413800.0
55,Chicago,Suburb,2993.0,4,1,2014,0,Yes,3.29,Good,555900.0
56,New York,Downtown,3463.0,1,1,2021,3,Yes,22.1,Excellent,564700.0
57,Houston,Urban,2388.0,5,2,1974,0,Yes,22.31,Good,471300.0
58,Los Angeles,Downtown,2140.0,5,2,2006,0,Yes,19.96,Excellent,458300.0
59,Houston,Suburb,2500.0,5,2,1981,0,No,7.24,Good,527100.0
60,Los Angeles,Downtown,2981.0,3,1,2012,0,No,12.98,Poor,520500.0
61,Los Angeles,Rural,1345.0,2,1,1961,2,Yes,25.47,Excellent,230200.0
62,Houston,Downtown,663.0,4,1,2012,2,Yes,20.27,Excellent,209000.0
63,Phoenix,Suburb,2060.0,5,2,1950,0,Yes,22.12,Excellent,418700.0
64,Los Angeles,Downtown,1523.0,1,2,2000,3,No,17.83,Fair,262000.0
65,Los Angeles,Urban,2093.0,5,3,2019,2,No,13.76,Good,496200.0
66,Houston,Downtown,2382.0,2,2,1957,0,Yes,22.89,Fair,404500.0
67,Los Angeles,Urban,2137.0,2,3,2017,2,Yes,2.5,Fair,455400.0
68,Los Angeles,Rural,3662.0,4,1,1954,1,Yes,20.36,Good,605100.0
69,Houston,Urban,2761.0,3,2,1988,2,No,29.92,Excellent,487700.0
70,Houston,Downtown,2740.0,4,1,1972,2,Yes,23.52,Good,457100.0
71,New York,Suburb,2998.0,5,1,2017,3,Yes,9.07,Excellent,580300.0
72,Phoenix,Urban,1589.0,1,1,2001,2,Yes,8.7,Poor,313400.0
73,Phoenix,Rural,3331.0,4,1,1953,3,Yes,20.18,Poor,579400.0
